responseid	interview_start	interview_end	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field	improve_funding_to_reproduce	improve_funding_for_practices	improve_teaching	improve_mentoring	improve_stats	improve_experimantal_design	improve_validationa_outside_lab	improve_journal	improve_mentoring	improve_time_check	"""I think that the failure to reproduce scientific studies is a major problem in my field"""	"""I think that the failure to reproduce scientific studies is a major problem for all fields"""	Think about reproducibility of your research	Speak to you colleagues about reproducibility	Question the reproducibility of other scientists' work	Have you encountered efforts or directives from funding agencies designed to improve reproducibility of the work you do?	Have you encountered efforts from journal publishers designed to enhance or ensure the reproducibility of your work (e.g. using checklists to ensure standards for describing research methods)?	How many members are in your lab?	What is your age?
4881	19/10/2015	19/10/2015	Yes	0	0	1	0	Not very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	Yes	Yes	PhD Student	Other	Likely	Very likely	Very likely	Very likely	Likely	Very likely	Likely	Likely	Not very likely	Likely	Disagree	Disagree	Quarterly	Quarterly	Quarterly	Not applicable	Not applicable	6-10 members	35 - 44
4887	19/10/2015	19/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	Student	Medicine	Very likely	Very likely	Likely	Very likely	Likely	Not very likely	Likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Quarterly	Never	Monthly	Not applicable	Not applicable	6-10 members	18 - 24
4892	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	I am unsure	Yes	Yes	No	Yes	No	No	Associate professor/Lecturer	Engineering	Very likely	Very likely	Not very likely	Likely	Not very likely	Likely	Very likely	Likely	Not very likely	Not very likely	Agree	Agree	Weekly	Weekly	Monthly	Yes	No	11-25 members	35 - 44
4899	19/10/2015	19/10/2015	Yes	0	0	0	1	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Research Director/VP of Research	Engineering	Not at all likely	Not at all likely	Not at all likely	Not at all likely	Not at all likely	Not at all likely	Likely	Not at all likely	Not at all likely	Not at all likely	Strongly agree	Strongly agree	Daily	Quarterly	Weekly	No	No	1-5 members	55 - 64
4902	19/10/2015	19/10/2015	Yes	0	0	1	0	Somewhat familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	I am unsure	Yes	Yes	No	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology	Not very likely	Not very likely	Likely	Not very likely	Very likely	Not very likely	Not very likely	Likely	Likely	Likely	Agree	Agree	Monthly	Monthly	Monthly	No	No	11-25 members	25 - 34
4906	19/10/2015	19/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Too much	50%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	PhD Student	Biology	Not very likely	Likely	Very likely	Likely	Very likely	Very likely	Very likely	Not very likely	Not at all likely	Not very likely	Agree	Strongly agree	Monthly	Weekly	Weekly	No	No	11-25 members	25 - 34
4908	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	Principal Investigator	Other	Very likely	Very likely	Very likely	Likely	Very likely	Likely	I don't know	Likely	Very likely	Likely	Strongly agree	Strongly agree	Daily	Weekly	Quarterly	Yes	No	1-5 members	35 - 44
4937	19/10/2015	19/10/2015	Yes	0	0	1	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	80%	I am unsure	Yes	Yes	No	No	No	No	Technician/Research Assistant	Biology	Not very likely	Not very likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Not very likely	Agree	Strongly agree	Weekly	Monthly	Monthly	No	No	More than 50 members	25 - 34
4938	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Very likely	Likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Very likely	Agree	Agree	Weekly	Weekly	Monthly	No	Yes	6-10 members	25 - 34
4950	19/10/2015	20/10/2015	Yes	0	0	1	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	I can't remember	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Agree	Agree	Daily	Weekly	Weekly	No	No	6-10 members	25 - 34
4964	19/10/2015	19/10/2015	Yes	0	0	0	1	Very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Not very likely	Not very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Agree	Agree	Daily	Weekly	Monthly	Yes	No	11-25 members	25 - 34
4966	19/10/2015	19/10/2015	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Research Scientist	Physics	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Not very likely	Likely	Likely	Very likely	Disagree	Disagree	Quarterly	Never	Monthly	No	Yes	1-5 members	55 - 64
4967	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	10%	I am unsure	Yes	Yes	Yes	Yes	Yes	Yes	Associate professor/Lecturer	Earth and Environmental Science	Very likely	Very likely	Not very likely	Not very likely	Not very likely	Not very likely	Very likely	Very likely	Not very likely	Not very likely	Agree	Agree	Daily	Daily	Daily	Yes	Yes	6-10 members	25 - 34
4974	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Professor	Other	Very likely	Likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Strongly agree	Agree	Weekly	Weekly	Weekly	No	Yes	1-5 members	45 - 54
4975	19/10/2015	19/10/2015	Yes	0	1	0	0	Somewhat familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Too much	30%	I am unsure	No	No	No	No	No	No	PhD Student	Earth and Environmental Science	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Very likely	Neither agree nor disagree	Agree	Monthly	Monthly	Monthly	No	No	6-10 members	25 - 34
4979	19/10/2015	19/10/2015	Yes	1	0	0	0	Very familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	I can't remember	I can't remember	Post-doctoral Fellow	Biology	Very likely	Likely	Very likely	Likely	Very likely	Likely	I don't know	Very likely	Likely	Likely	Strongly agree	Strongly agree	Monthly	Never	Monthly	No	No	6-10 members	25 - 34
4984	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	90%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	Other (please specify)	Physics	Not very likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Not at all likely	Disagree	Agree	Quarterly	Quarterly	Quarterly	No	No	26-50 members	65 or over
4986	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Biology	Likely	Not very likely	Not very likely	Likely	Very likely	Likely	Not at all likely	Likely	Likely	Very likely	Agree	Agree	Quarterly	Quarterly	Monthly	No	No	1-5 members	25 - 34
4987	19/10/2015	19/10/2015	Yes	0	1	0	0	Somewhat familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Materials Science	Likely	Not very likely	Not very likely	Likely	Not very likely	Not very likely	Very likely	Likely	Not very likely	Likely	Agree	Neither agree nor disagree	Weekly	Weekly	Weekly	No	No	1-5 members	25 - 34
4990	19/10/2015	19/10/2015	Yes	1	0	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Other	Very likely	Not very likely	Very likely	Not very likely	Very likely	Likely	Likely	Not very likely	Not very likely	Likely	Agree	Agree	Weekly	Weekly	Weekly	Not applicable	No	26-50 members	35 - 44
4993	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	I don't know	I am unsure	30%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	Principal Investigator	Other	Likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	I don't know	I don't know	Strongly agree	Disagree	Daily	Daily	Daily	Not applicable	No	6-10 members	35 - 44
4994	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	No	Yes	No	Yes	No	No	Principal Investigator	Other	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Disagree	Agree	Weekly	Weekly	Weekly	No	No	1-5 members	45 - 54
4995	19/10/2015	19/10/2015	Yes	0	1	0	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	No	No	PhD Student	Biology	Very likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Likely	Likely	Not very likely	Not very likely	Agree	Strongly agree	Monthly	Quarterly	Weekly	Yes	Yes	6-10 members	25 - 34
5003	19/10/2015	19/10/2015	Yes	1	0	0	0	Very familiar	0	0	1	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	Yes	No	Yes	No	No	No	Associate professor/Lecturer	Medicine	Not very likely	Not very likely	Likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Not very likely	Not very likely	Disagree	Neither agree nor disagree	Weekly	Weekly	Weekly	No	No	1-5 members	55 - 64
5007	19/10/2015	19/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Other	Very likely	Very likely	Likely	Not very likely	Likely	Likely	Very likely	Very likely	Not very likely	Not very likely	Strongly agree	Strongly agree	Weekly	Monthly	Quarterly	Not applicable	No	1-5 members	45 - 54
5019	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Staff Scientist	Other	Likely	Likely	Not very likely	Not very likely	Not at all likely	Likely	Not very likely	Not very likely	Not very likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Quarterly	Quarterly	Monthly	Not applicable	Not applicable	1-5 members	25 - 34
5052	20/10/2015	20/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Senior Scientist	Physics	Not very likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Very likely	Very likely	Strongly disagree	Agree	Daily	Daily	Daily	No	Yes	More than 50 members	25 - 34
5057	20/10/2015	20/10/2015	Yes	1	0	0	0	Very familiar	0	0	0	0	0	1	There is a significant crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	Yes	No	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Likely	Likely	Not very likely	Agree	Agree	Monthly	Monthly	Never	No	No	11-25 members	25 - 34
5058	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	10%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Senior Scientist	Biology	Very likely	Very likely	Likely	Very likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Weekly	Weekly	Weekly	No	Yes	6-10 members	35 - 44
5071	20/10/2015	20/10/2015	Yes	0	1	0	0	Not very familiar	0	0	0	1	0	0	There is no crisis of reproducibility	I am unsure	50%	I am unsure	Yes	Yes	No	No	No	No	PhD Student	Medicine	Likely	Likely	Likely	Very likely	Very likely	Likely	Likely	Likely	Likely	Likely	Agree	Agree	Monthly	Weekly	Monthly	Yes	Yes	More than 50 members	25 - 34
5111	20/10/2015	20/10/2015	Yes	1	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	Yes	No	No	Professor	Medicine	Likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Likely	Strongly agree	Strongly agree	Daily	Weekly	Quarterly	Yes	Yes	26-50 members	35 - 44
5172	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	Not enough	50%	"...about the same as for other scientific fields on average"""	Yes	No	No	No	No	No	Student	Medicine	Likely	Likely	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Strongly agree	Strongly agree	Weekly	Weekly	Weekly	No	Yes	11-25 members	25 - 34
5178	20/10/2015	20/10/2015	Yes	0	0	0	1	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Research Scientist	Earth and Environmental Science	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Not very likely	Not very likely	Disagree	Agree	Monthly	Monthly	Monthly	Yes	No	None	25 - 34
5180	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	0	1	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Technician/Research Assistant	Other	Very likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Likely	Likely	Strongly agree	Agree	Weekly	Quarterly	Weekly	No	No	6-10 members	25 - 34
5201	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Other	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Likely	Not very likely	Likely	Agree	Agree	Monthly	Monthly	Monthly	Not applicable	Yes	26-50 members	25 - 34
5222	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Professor	Physics	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Very likely	Disagree	Agree	Monthly	Monthly	Monthly	Yes	Yes	6-10 members	35 - 44
5223	20/10/2015	20/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	A reasonable amount	40%	"...about the same as for other scientific fields on average"""	No	No	No	No	No	No	PhD Student	Chemistry	Likely	Not very likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Not very likely	Neither agree nor disagree	Neither agree nor disagree	Monthly	Quarterly	Quarterly	Not applicable	Not applicable	11-25 members	18 - 24
5259	20/10/2015	20/10/2015	Yes	0	0	0	1	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Very likely	Likely	Likely	Very likely	Likely	Not very likely	Not very likely	Not very likely	Not at all likely	Neither agree nor disagree	Agree	Weekly	Quarterly	Quarterly	Yes	Not applicable	26-50 members	25 - 34
5284	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	1	0	There is a significant crisis of reproducibility	Not enough	40%	"...worse than for other scientific fields on average."""	Yes	Yes	No	Yes	No	Yes	Research Scientist	Medicine	Very likely	Likely	Not very likely	Not very likely	Likely	Likely	Likely	Not very likely	Not very likely	Not very likely	Strongly agree	Strongly agree	Daily	Weekly	Daily	Yes	Yes	6-10 members	25 - 34
5289	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	70%	"...about the same as for other scientific fields on average"""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Likely	Agree	Strongly agree	Daily	Monthly	Quarterly	No	No	11-25 members	25 - 34
5301	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Too much	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Principal Investigator	Biology	Likely	Likely	Likely	Very likely	Very likely	Likely	Very likely	I don't know	Not very likely	Not very likely	Agree	Agree	Weekly	Weekly	Monthly	No	No	11-25 members	45 - 54
5308	20/10/2015	20/10/2015	Yes	0	1	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Student	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Likely	Likely	Neither agree nor disagree	Agree	Monthly	Quarterly	Weekly	Not applicable	Not applicable	11-25 members	18 - 24
5309	20/10/2015	20/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Principal Investigator	Biology	Not at all likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Likely	Disagree	Neither agree nor disagree	Weekly	Monthly	Quarterly	No	No	1-5 members	35 - 44
5315	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Associate professor/Lecturer	Biology	Likely	Likely	Not very likely	Not very likely	Likely	Likely	Likely	Not very likely	Not very likely	Likely	Disagree	Neither agree nor disagree	Quarterly	Quarterly	Quarterly	No	Yes	6-10 members	35 - 44
5316	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	30%	"...better than for other scientific fields on average."""	No	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Likely	Very likely	Likely	I don't know	Likely	Likely	Very likely	Agree	Strongly agree	Weekly	Monthly	Daily	No	Yes	6-10 members	25 - 34
5317	20/10/2015	20/10/2015	Yes	1	1	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	80%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Agree	Weekly	Weekly	Weekly	Yes	Yes	26-50 members	25 - 34
5323	20/10/2015	20/10/2015	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Earth and Environmental Science	Likely	Likely	I don't know	I don't know	Not very likely	Not very likely	Likely	Not very likely	Not very likely	Not very likely	Neither agree nor disagree	Neither agree nor disagree	Weekly	Quarterly	Quarterly	No	Yes	6-10 members	25 - 34
5333	20/10/2015	20/10/2015	Yes	1	0	0	0	Somewhat familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	Too much	80%	"...better than for other scientific fields on average."""	No	No	No	No	No	No	Other (please specify)	Materials Science	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Likely	Neither agree nor disagree	Neither agree nor disagree	Weekly	Never	Never	No	No	11-25 members	35 - 44
5334	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Post-doctoral Fellow	Medicine	Likely	Very likely	Likely	Likely	Very likely	Not very likely	Very likely	Likely	Not very likely	Likely	Strongly agree	Neither agree nor disagree	Weekly	Weekly	Quarterly	Not applicable	Yes	6-10 members	25 - 34
5335	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...worse than for other scientific fields on average."""	No	Yes	No	No	No	No	PhD Student	Other	Very likely	Likely	Not very likely	Likely	Likely	Very likely	Likely	Likely	Not very likely	Likely	Agree	Agree	Weekly	Monthly	Weekly	No	No	6-10 members	18 - 24
5338	20/10/2015	20/10/2015	Yes	0	0	1	0	Fairly familiar	1	1	0	1	0	0	There is a slight crisis of reproducibility	Too much	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Biology	Likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Not very likely	Very likely	Not very likely	Disagree	Agree	Weekly	Quarterly	Monthly	Not applicable	Not applicable	6-10 members	25 - 34
5345	20/10/2015	20/10/2015	Yes	0	1	0	0	Fairly familiar	0	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	Yes	Yes	No	Post-doctoral Fellow	Other	Likely	Very likely	Not very likely	Not very likely	Very likely	Likely	Very likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Weekly	Monthly	Daily	No	Yes	11-25 members	25 - 34
5355	20/10/2015	20/10/2015	Yes	0	0	1	0	Fairly familiar	1	1	0	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	70%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	PhD Student	Biology	Likely	Likely	Very likely	Not very likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Agree	Strongly agree	Weekly	Monthly	Weekly	No	Not applicable	11-25 members	18 - 24
5366	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	40%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Other	Likely	Likely	Likely	Likely	Very likely	Likely	Likely	Very likely	Likely	Not very likely	Agree	Agree	Monthly	Quarterly	Never	No	No	1-5 members	25 - 34
5383	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	Yes	No	I can't remember	I can't remember	Principal Investigator	Biology	Likely	Very likely	Likely	Likely	Likely	Likely	Very likely	Likely	Very likely	Very likely	Agree	Agree	Daily	Weekly	Weekly	Yes	No	1-5 members	45 - 54
5384	20/10/2015	20/10/2015	Yes	1	1	0	0	Fairly familiar	0	0	0	0	0	1	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	No	Yes	Yes	No	No	No	Post-doctoral Fellow	Chemistry	Likely	Likely	Very likely	Likely	Very likely	Likely	Likely	Very likely	Very likely	Very likely	Neither agree nor disagree	Neither agree nor disagree	Daily	Weekly	Weekly	Yes	Yes	6-10 members	25 - 34
5385	20/10/2015	20/10/2015	Yes	1	0	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	60%	"...better than for other scientific fields on average."""	I can't remember	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Likely	Very likely	Not very likely	Likely	Not very likely	Not very likely	Likely	Not very likely	Not very likely	Likely	Disagree	Agree	Daily	Weekly	Weekly	Yes	Yes	6-10 members	25 - 34
5390	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	Yes	No	Yes	No	No	Professor	Biology	Likely	Likely	Not very likely	Not very likely	Likely	Not very likely	Likely	Not very likely	Not very likely	Not very likely	Agree	Agree	Weekly	Quarterly	Quarterly	No	Yes	1-5 members	45 - 54
5410	20/10/2015	20/10/2015	Yes	1	0	0	0	Fairly familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	Yes	No	No	No	No	No	Post-doctoral Fellow	Physics	Likely	Very likely	Likely	Likely	Very likely	Not very likely	Likely	Not very likely	Not very likely	Not very likely	Disagree	Neither agree nor disagree	Daily	Weekly	Weekly	No	No	1-5 members	25 - 34
5423	20/10/2015	20/10/2015	Yes	0	0	0	1	Very familiar	0	0	0	1	0	0	There is a significant crisis of reproducibility	Not enough	60%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	Post-doctoral Fellow	Biology	Very likely	Very likely	Likely	Very likely	Very likely	Very likely	Very likely	Likely	Likely	Very likely	Agree	Agree	Monthly	Monthly	Monthly	No	No	11-25 members	25 - 34
5436	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	0	1	0	0	1	0	There is a significant crisis of reproducibility	Not enough	70%	"...better than for other scientific fields on average."""	No	Yes	Yes	No	No	No	PhD Student	Biology	Likely	Not very likely	Not very likely	Very likely	Likely	Very likely	Likely	Not very likely	Very likely	Not very likely	Disagree	Strongly agree	Daily	Monthly	Daily	No	No	6-10 members	25 - 34
5437	20/10/2015	20/10/2015	Yes	1	0	0	0	Very familiar	0	1	1	1	0	0	There is a slight crisis of reproducibility	Not enough	20%	"...worse than for other scientific fields on average."""	Yes	Yes	I can't remember	I can't remember	I can't remember	I can't remember	PhD Student	Biology	Not at all likely	Likely	Likely	Very likely	Very likely	Very likely	Likely	Not very likely	Very likely	Very likely	Agree	Neither agree nor disagree	Monthly	Monthly	Weekly	No	Yes	11-25 members	25 - 34
5444	20/10/2015	20/10/2015	Yes	0	1	0	0	Very familiar	1	0	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...about the same as for other scientific fields on average"""	No	No	Yes	No	No	Yes	Research Scientist	Biology	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Not very likely	Likely	Likely	Agree	Agree	Weekly	Monthly	Quarterly	Not applicable	Yes	11-25 members	35 - 44
